timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391605081,198,review-1,200,,jp@gc - Ultimate Thread Group 1-457,text,true,,20038,333,979,979,http://localhost:8082/books/4,197,0,1
1594391599964,2148,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-956,,true,,23959,1429,979,979,null,0,3176,0
1594391602498,1622,review-0,200,,jp@gc - Ultimate Thread Group 1-956,text,true,,5248,1096,937,937,http://localhost:8082/login,1556,0,1
1594391604762,526,review-1,200,,jp@gc - Ultimate Thread Group 1-956,text,true,,18711,333,979,979,http://localhost:8082/books/4,526,0,1
1594391604408,391,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-449,,true,,7917,187,979,979,null,0,492,0
1594391604899,391,Book category-0,200,,jp@gc - Ultimate Thread Group 1-449,text,true,,7917,187,979,979,http://localhost:8082/books/category/3,391,0,0
1594391601012,741,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-860,,true,,18446,287,979,979,null,0,3538,0
1594391604550,741,book-0,200,,jp@gc - Ultimate Thread Group 1-860,text,true,,18446,287,979,979,http://localhost:8082/books/26,741,0,1
1594391603950,542,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-737,,true,,10879,187,979,979,null,0,809,0
1594391604758,542,Book category-0,200,,jp@gc - Ultimate Thread Group 1-737,text,true,,10879,187,979,979,http://localhost:8082/books/category/1,542,0,1
1594391604672,436,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-360,,true,,19943,287,979,979,null,0,193,0
1594391604865,436,book-0,200,,jp@gc - Ultimate Thread Group 1-360,text,true,,19943,287,979,979,http://localhost:8082/books/19,435,0,0
1594391599911,1105,logout,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-683,,true,,6977,756,979,979,null,0,4288,0
1594391604199,1105,logout-0,200,,jp@gc - Ultimate Thread Group 1-683,text,true,,6977,756,979,979,http://localhost:8082/,36,0,1
1594391604382,611,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-424,,true,,13353,285,979,979,null,0,317,0
1594391604698,611,catalog-0,200,,jp@gc - Ultimate Thread Group 1-424,text,true,,13353,285,979,979,http://localhost:8082/books/,611,0,0
1594391599720,5262,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-715,,true,,40121,1424,979,979,null,0,330,0
1594391599872,4562,review-0,200,,jp@gc - Ultimate Thread Group 1-715,text,true,,20214,1090,947,947,http://localhost:8082/books/10#reviews,4452,0,0
1594391604612,700,review-1,200,,jp@gc - Ultimate Thread Group 1-715,text,true,,19907,334,979,979,http://localhost:8082/books/10,700,0,0
1594391602709,240,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-830,,true,,18863,286,979,979,null,0,2368,0
1594391605077,240,book-0,200,,jp@gc - Ultimate Thread Group 1-830,text,true,,18863,286,979,979,http://localhost:8082/books/1,239,0,1
1594391604319,126,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-288,,true,,13353,285,979,979,null,0,873,0
1594391605192,126,catalog-0,200,,jp@gc - Ultimate Thread Group 1-288,text,true,,13353,285,979,979,http://localhost:8082/books/,126,0,0
1594391598707,488,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-741,,true,,7925,187,979,979,null,0,6125,0
1594391604831,488,Book category-0,200,,jp@gc - Ultimate Thread Group 1-741,text,true,,7925,187,979,979,http://localhost:8082/books/category/2,488,0,0
1594391601798,635,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-132,,true,,6711,226,979,979,null,0,2891,0
1594391604689,635,Home-0,200,,jp@gc - Ultimate Thread Group 1-132,text,true,,6711,226,979,979,http://localhost:8082/,635,0,0
1594391603830,265,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-806,,true,,7925,187,979,979,null,0,1232,0
1594391605062,265,Book category-0,200,,jp@gc - Ultimate Thread Group 1-806,text,true,,7925,187,979,979,http://localhost:8082/books/category/2,265,0,0
1594391603206,142,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-749,,true,,18569,287,979,979,null,0,1980,0
